genero,idoso,parceiro,dependentes,tempo_contrato_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,forma_pagamento,cobranca_mensal,total_gasto,evasao
Masculino,0,Não,Não,67,Sim,Não,DSL,Não,Não,Não,Não,Não,Sim,Um ano,Não,Cheque eletrônico,99.1,6176.65,0
Feminino,1,Não,Não,25,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Dois anos,Não,Cartão de crédito,113.02,2954.4,0
Masculino,0,Não,Não,61,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,51.93,3390.04,0
Masculino,0,Sim,Não,26,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mês a mês,Sim,Cheque eletrônico,81.21,1882.09,0
Masculino,0,Sim,Não,34,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Sim,Um ano,Sim,Transferência bancária,40.85,1231.18,0
Feminino,1,Sim,Não,9,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Cartão de crédito,91.79,927.48,1
Masculino,0,Sim,Sim,40,Sim,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Um ano,Não,Cartão de crédito,116.42,4179.06,0
Masculino,0,Sim,Não,7,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Cartão de crédito,50.16,356.49,0
Masculino,0,Sim,Não,30,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mês a mês,Sim,Transferência bancária,24.55,759.44,1
Feminino,0,Sim,Sim,66,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Um ano,Não,Cartão de crédito,115.34,7200.7,0
Masculino,0,Sim,Sim,30,Sim,Sim,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque enviado pelo correio,21.12,630.18,0
Masculino,0,Sim,Não,68,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque enviado pelo correio,54.42,3482.6,0
Masculino,0,Não,Não,58,Não,Sem serviço telefônico,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Transferência bancária,73.97,4711.14,0
Masculino,0,Não,Sim,55,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cartão de crédito,96.19,4739.22,1
Feminino,0,Sim,Não,14,Não,Sem serviço telefônico,DSL,Não,Sim,Não,Não,Sim,Não,Um ano,Não,Cheque eletrônico,39.65,522.29,0
Masculino,0,Sim,Não,37,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Cheque enviado pelo correio,23.41,867.89,0
Feminino,0,Sim,Sim,44,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Transferência bancária,87.69,3626.88,0
Feminino,0,Não,Sim,6,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Um ano,Não,Cheque eletrônico,27.71,184.32,1
Feminino,1,Sim,Não,26,Não,Sem serviço telefônico,DSL,Não,Sim,Não,Sim,Sim,Não,Dois anos,Não,Cheque eletrônico,42.39,1232.79,0
Masculino,0,Não,Não,14,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mês a mês,Sim,Cheque enviado pelo correio,44.78,684.39,1
Feminino,1,Sim,Não,8,Sim,Não,DSL,Não,Sim,Sim,Não,Não,Não,Mês a mês,Não,Cartão de crédito,101.78,908.4,0
Masculino,0,Sim,Não,24,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Transferência bancária,75.95,1784.62,0
Feminino,0,Sim,Sim,39,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Transferência bancária,63.17,2492.72,0
Feminino,1,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,20.56,1048.06,1
Feminino,0,Não,Não,63,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Não,Cheque enviado pelo correio,68.81,4701.1,0
Feminino,0,Não,Não,26,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Dois anos,Sim,Cartão de crédito,89.27,2215.96,0
Feminino,0,Não,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cartão de crédito,115.67,1004.57,0
Feminino,0,Não,Sim,58,Sim,Sim,DSL,Sim,Não,Não,Não,Sim,Não,Um ano,Sim,Cartão de crédito,66.27,4269.48,0
Feminino,0,Não,Não,14,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,73.7,1116.1,0
Feminino,0,Não,Sim,71,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Não,Cartão de crédito,50.14,3556.5,1
Masculino,0,Sim,Sim,39,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Cheque eletrônico,99.58,3398.05,0
Masculino,0,Sim,Não,31,Sim,Não,DSL,Não,Não,Sim,Não,Sim,Não,Dois anos,Sim,Cheque eletrônico,72.03,2189.03,0
